LOGMSTAR,MU_DELTA,LOGMH,LOGMH_S,LOGMGAS,NAME,B_A,B_A_INNERDISK
8.51,8.0091,10.9529,10.9209,8.81861,rf0001 ,0.81,0.842125
9.57,9.50532,11.1319,11.3479,8.27659,rf0002 ,0.6,0.614789
8.99,9.2712,10.9459,11.1059,8.9553,rf0003 ,0.94,0.937061
9.67,7.93363,11.5739,11.3899,9.80763,rf0004 ,0.95,0.949
10.67,9.99774,11.9579,12.1679,9.12761,rf0005 ,0.66,0.698631
9.13,8.78608,11.0109,11.1589,7.822,rf0006 ,0.94,0.955937
9.79,8.3183,11.8699,11.8279,9.39768,rf0007 ,0.61,0.619652
10.21,8.70793,11.8699,11.8279,8.86088,rf0008 ,0.54,0.601713
8.65,8.13726,10.9719,10.9699,7.99759,rf0009 ,0.3,0.296176
8.49,7.97331,11.5089,11.3059,9.13344,rf0010 ,0.9,0.898
9.43,8.26437,11.5089,11.3059,9.53657,rf0011 ,0.72,0.763761
8.15,8.11002,10.8192,10.837,8.57697,rf0012 ,0.83,0.822538
9.79,9.48734,11.3889,11.4539,8.52463,rf0013 ,0.59,0.56279
8.51,7.52978,10.8979,10.9209,8.76982,rf0014 ,0.35,0.362342
10.35,8.81633,11.7379,11.8409,8.91096,rf0015 ,0.6,0.3429
10.77,9.94188,12.1659,12.2979,9.01392,rf0016 ,0.75,0.7392
8.75,8.76673,10.9379,11.0109,8.42434,rf0017 ,0.72,0.714362
8.97,8.20808,11.7379,11.8409,7.70091,rf0018 ,0.53,0.512287
8.53,7.79766,12.1659,12.2979,8.63758,rf0019 ,0.66,0.674266
8.69,8.32943,12.1659,12.2979,7.46271,rf0020 ,0.43,0.432654
10.21,9.64892,11.5089,11.7169,8.66887,rf0021 ,0.33,0.467803
9.19,8.94977,10.9799,11.1859,7.8519,rf0022 ,0.65,0.86547
8.41,7.79801,10.8909,10.8939,8.56231,rf0023 ,0.76,0.750057
9.27,8.28062,11.2509,11.2199,9.42711,rf0024 ,0.89,0.900449
9.29,7.70531,11.3229,11.2269,9.572,rf0025 ,0.63,0.631409
8.41,8.68539,10.8909,10.8939,8.92618,rf0026 ,0.79,0.806019
7.95,7.15778,10.7463,10.7981,8.93193,rf0027 ,0.25,0.242028
8.77,7.88827,11.7169,11.7859,8.77471,rf0028 ,0.27,0.268502
9.07,8.05348,11.4349,11.3419,9.25423,rf0029 ,0.72,0.76199
9.39,9.20189,11.4349,11.3419,9.39884,rf0030 ,0.68,0.682572
10.29,9.49346,11.7169,11.7859,9.67706,rf0031 ,0.53,0.549329
8.99,7.74653,11.1349,11.1059,9.34635,rf0032 ,0.92,0.987964
8.73,7.51767,11.0269,11.0049,9.67573,rf0033 ,0.35,0.369309
8.43,7.46287,10.8939,10.9019,9.06903,rf0034 ,0.21,0.222679
8.01,7.38808,10.6836,10.8083,8.35221,rf0035 ,0.47,0.436403
8.33,8.27416,13.0789,12.8759,7.96235,rf0036 ,0.86,0.826114
10.51,8.35983,13.0789,12.8759,9.85487,rf0037 ,0.73,0.722099
8.65,8.12453,13.0789,12.8759,8.2118,rf0038 ,0.36,0.358822
7.75,7.49799,10.6507,10.7753,8.82076,rf0039 ,0.58,0.58329
9.49,8.39112,11.2539,11.3089,8.72418,rf0040 ,0.48,0.50494
8.19,7.97885,13.0789,12.8759,8.13628,rf0041 ,0.62,0.622304
8.83,7.62457,11.9869,11.7229,9.24453,rf0042 ,0.84,0.814763
10.21,8.46457,11.9869,11.7229,9.6766,rf0043 ,0.81,0.789053
9.25,8.91724,11.2549,11.2379,9.09554,rf0044 ,0.53,0.533953
8.55,8.45903,11.2549,11.2379,8.53162,rf0045 ,0.62,0.64115
8.45,7.74811,10.783,10.9165,8.39628,rf0046 ,0.62,0.647317
